number,name,abbreviation,category,maintainer,description,size,license,tier,hi_relevance
67,Universal Declaration of Human Rights,UDHR,E. Human Rights & Humanitarian,UN,30 articles establishing fundamental human rights. The foundational human rights instrument.,30 articles,Public domain,1,"HI red teamed AI against human rights instruments (ICCPR, UN Guiding Principles, Article 19)"
68,International Covenant on Civil and Political Rights,ICCPR,E. Human Rights & Humanitarian,UN OHCHR,"Treaty committing states to respect civil and political rights: life, freedom of expression, fair trial, privacy.","53 articles, 173 parties",Public domain,1,Explicitly used in HI red teaming evaluations
69,UN Guiding Principles on Business and Human Rights,UNGPs,E. Human Rights & Humanitarian,UN OHCHR,"Framework of state duty to protect, corporate responsibility to respect, and access to remedy for business-related human rights impacts.","31 principles, 3 pillars",Public domain,1,Explicitly used in HI red teaming; maps corporate AI accountability
70,Humanitarian Exchange Language,HXL,E. Human Rights & Humanitarian,OCHA / Humanitarian community,Lightweight standard for tagging humanitarian data with hashtags to improve interoperability across crisis response.,300+ hashtags and attributes,Open standard,1,Structures humanitarian crisis data for evaluation in conflict/crisis contexts
71,OCHA ReliefWeb Taxonomy,ReliefWeb,E. Human Rights & Humanitarian,UN OCHA,"Controlled vocabulary for humanitarian content: disaster types, themes, countries, sources. Used for indexing 800K+ reports.",100+ terms across 10+ facets,Open,2,Structures humanitarian crisis categorization for AI evaluation in humanitarian response
72,Sphere Standards,Sphere,E. Human Rights & Humanitarian,Sphere Association,"Minimum standards for humanitarian response in WASH, food security, shelter, and health.","4 sectors, 20+ standards",CC BY-NC-ND 4.0,2,Humanitarian response standards — evaluation ground truth for humanitarian AI
73,International Humanitarian Law Ontology,IHL-Onto,E. Human Rights & Humanitarian,Academic (research),"Formal representation of Geneva Conventions and Additional Protocols — combatant status, protected persons, prohibited acts.",~800 classes,Research/open,2,Structures IHL for conflict-related AI evaluation (relevant to HI's human rights work)
74,Protection Information Management — Incident Classification,PIM,E. Human Rights & Humanitarian,Global Protection Cluster (UNHCR),"Taxonomy for classifying protection incidents: GBV, child protection, displacement, arbitrary detention.",50+ incident types,Open standard,1,Directly relevant to HI's gender-based violence and protection evaluation work
75,Technology-Facilitated Gender-Based Violence Taxonomy,TF-GBV,E. Human Rights & Humanitarian,HI / Tattle Civic Tech / Academic,"Taxonomy of tech-facilitated GBV: non-consensual intimate images, doxxing, cyberstalking, sextortion.",20+ categories,Varies,1,"HI explicitly works on this (bias bounty with Tattle, ""Digital Violence"" report with UK FCDO)"
76,Humanitarian Standards Partnership,HSP,E. Human Rights & Humanitarian,CHS Alliance,Core Humanitarian Standard (CHS) — 9 commitments for quality and accountability in humanitarian response.,"9 commitments, 47 key actions",CC BY-NC-ND 3.0,3,Accountability framework for humanitarian AI evaluation
77,Climate Vulnerability Index,CVI,E. Human Rights & Humanitarian,ND-GAIN / Academic,Indices measuring country/community vulnerability to climate change and readiness to adapt.,"192 countries, 74 variables",Open access,2,Climate vulnerability contextualization for evaluation in climate-affected populations
78,Conflict and Peace Ontology,CPO,E. Human Rights & Humanitarian,Academic (UCDP / PRIO),"Formal representation of armed conflicts, peace processes, actors, and events from Uppsala Conflict Data Program.",2.5K+ conflicts since 1946,Open access,2,Structures conflict data for HI's human rights AI evaluation scenarios
79,OntoRights,OntoRights,E. Human Rights & Humanitarian,Academic,"Formal ontology representing human rights concepts, instruments, violations, and remedies. Links UDHR articles to ICCPR/ICESCR provisions.",~500 classes,Open (research),1,"Structures the human rights instruments HI already red-teams against (ICCPR, Article 19)"
80,HURIDOCS / Uwazi,Uwazi,E. Human Rights & Humanitarian,HURIDOCS,"Open-source platform for documenting human rights violations with structured metadata, case management, and evidence linking.","10K+ templates, 60+ languages",Open source,1,Human rights documentation tool; structures violation evidence for AI evaluation in HR contexts
81,GBVIMS Classification Tool,GBVIMS,E. Human Rights & Humanitarian,UNFPA / UNICEF / IRC,"Inter-agency system for classifying, collecting, storing, and sharing GBV incident data in humanitarian settings. Standard incident classification taxonomy.","6 GBV types, standardized forms",Open standard,1,Standard GBV incident taxonomy — directly relevant to HI's GBV work with Tattle and UK FCDO
82,OGBV Ontology (Online Gender-Based Harms),OGBV,E. Human Rights & Humanitarian,Academic / Civil society,"Emerging ontology for categorizing online gender-based violence: non-consensual intimate images, cyber harassment, stalkerware, deepfakes, doxxing.",~200 classes (emerging),Open (research),2,Online GBV classification for HI's tech-facilitated GBV bias bounty work
83,CARE Principles for Indigenous Data Governance,CARE,E. Human Rights & Humanitarian,Global Indigenous Data Alliance,"Four principles: Collective benefit, Authority to control, Responsibility, Ethics. Framework for indigenous peoples' rights over their data.","4 principles, 12 sub-principles",Open standard,1,Directly relevant to HI's Tribal Innovation Summit and FarmerChat indigenous knowledge integration
84,PROV-O (Provenance Ontology),PROV-O,E. Human Rights & Humanitarian,W3C,"Ontology for representing provenance — who created what, when, how, and why. Entities, activities, and agents.",W3C Recommendation,W3C License,2,"Provenance tracking for AI evaluation data — who generated prompts, what model responded, audit trail"
79,AGROVOC,AGROVOC,F. Agriculture & Food Security,FAO,"Multilingual thesaurus for agriculture, forestry, fisheries, food, and environment. 40K+ concepts in 40+ languages.","40K+ concepts, 40+ languages",CC BY 3.0 IGO,1,Directly relevant to HI's FarmerChat bias bounty with Digital Green
80,Crop Ontology,CO,F. Agriculture & Food Security,Bioversity / CGIAR,"Ontology of crop traits, measurement methods, and scales for phenotyping across crop species.",5K+ traits across 30+ crops,CC BY 4.0,2,Structures crop knowledge for agricultural AI evaluation (smallholder farmer context)
81,Plant Ontology,PO,F. Agriculture & Food Security,OBO Foundry / Planteome,Controlled vocabulary for plant anatomy and developmental stages.,~2K classes,CC BY 4.0,3,Plant biology grounding for agricultural AI evaluation
82,FAO Integrated Food Security Classification,IPC,F. Agriculture & Food Security,FAO / IPC Partnership,Global standard for classifying food insecurity severity: 5 phases from Minimal to Famine.,"5 phases, 198 countries",Open standard,1,Food security classification directly relevant to SDoH and LMIC evaluation
83,Livestock Product Ontology,LPO,F. Agriculture & Food Security,FAO / Academic,"Ontology for livestock products, breeds, and production systems.",~500 classes,Open,3,Livestock knowledge for agricultural AI in LMICs
84,Indigenous Knowledge Ontology,IKO,F. Agriculture & Food Security,Academic (various),"Emerging frameworks for representing indigenous and traditional knowledge systems, including traditional ecological knowledge and indigenous agricultural practices.",Varies (emerging field),Research,2,Directly relevant to HI's Tribal Innovation Summit and FarmerChat integration of indigenous knowledge
85,Global Agricultural Concept Scheme,GACS,F. Agriculture & Food Security,FAO/NAL/CABI,"Unified agricultural vocabulary harmonizing AGROVOC, CAB Thesaurus, and NAL Thesaurus.",15K+ concepts,CC BY 4.0,2,Harmonized agricultural terminology for multi-source evaluation
86,AgroPortal,AgroPortal,F. Agriculture & Food Security,INRAE (France),Ontology repository for agriculture — hosts 150+ agronomic ontologies with search and alignment services.,150+ ontologies,Open platform,2,Portal for discovering agricultural ontologies relevant to FarmerChat evaluation
87,Web Content Accessibility Guidelines,WCAG 2.2,"G. Accessibility, Disability & Neurodiversity",W3C/WAI,"Standard for making web content accessible to people with disabilities. 4 principles, 13 guidelines, 78 success criteria.","78 success criteria (3 levels: A, AA, AAA)",W3C Document License,1,HI ran Accessibility Bias Bounty (digital conferencing); WCAG structures evaluation criteria
88,"International Classification of Functioning, Disability and Health",ICF,"G. Accessibility, Disability & Neurodiversity",WHO,Framework for measuring health and disability at both individual and population levels.,"1,454 categories",WHO license,2,Structures disability evaluation scenarios — relevant to accessibility bias work
89,Emotion Ontology,MFOEM,"G. Accessibility, Disability & Neurodiversity",OBO Foundry / Academic,"Ontology of affective phenomena: emotions, moods, appraisals, and their triggers.",~800 classes,CC BY 4.0,2,Structures emotion AI evaluation (HI's neurodivergent accessibility in Zoom)
90,W3C Accessible Rich Internet Applications,WAI-ARIA 1.2,"G. Accessibility, Disability & Neurodiversity",W3C,Specification for making web content accessible to assistive technologies.,200+ attributes and roles,W3C License,2,Technical standard for evaluating AI interface accessibility
91,Neurodiversity Cognitive Profile Frameworks,NCP,"G. Accessibility, Disability & Neurodiversity",Academic / Clinical,"Emerging frameworks categorizing neurodivergent profiles: ADHD, autism, dyslexia, dyscalculia — including strengths-based models.",Varies,Research,2,Structures neurodivergent evaluation personas (HI's Valence AI/CoNA Lab bounty)
92,Assistive Technology Product Classification,ISO 9999,"G. Accessibility, Disability & Neurodiversity",ISO,Classification of assistive products for persons with disability.,"11 classes, 130+ subclasses",ISO license,3,AT classification for assistive technology AI evaluation
93,International Standard Classification of Education,ISCED,H. Education & Workforce,UNESCO,Framework for classifying education programs and qualifications. 9 levels from early childhood to doctoral.,"9 levels, 25 fields",Open standard,2,Education as SDoH; structures evaluation for EdTech AI (HI tested with middle/high school students)
94,Open Badges Standard,Open Badges 3.0,H. Education & Workforce,1EdTech / W3C,Standard for representing verifiable digital credentials and achievements.,Open metadata standard,Open standard,3,Credential verification for AI evaluation capacity building
95,Digital Literacy Framework,DigComp 2.2,H. Education & Workforce,European Commission,"Framework defining digital competence areas: information, communication, content creation, safety, problem-solving.","5 areas, 21 competences, 8 proficiency levels",CC BY 4.0,2,Measures digital literacy — critical for evaluating AI accessibility in LMICs
96,O*NET Occupational Information Network,O*NET,H. Education & Workforce,US DOL,"Database of occupational characteristics: skills, abilities, work activities, and work context for 1,000+ occupations.","1,016 occupations, 277 descriptors",Public domain,3,Workforce taxonomy for AI impact evaluation across occupations
97,"ESCO (European Skills, Competences, Qualifications)",ESCO,H. Education & Workforce,European Commission,"Multilingual classification of skills, competences, and occupations.","13.9K skills, 3K occupations, 30 languages",CC BY 4.0,3,Skills taxonomy for workforce AI evaluation across languages
98,European Legislation Identifier,ELI,I. Legal & Governance,EU Council,"Standard for identifying and accessing EU legislation in a structured, machine-readable format.",Covers EU legal corpus,Open standard,3,Structures legal references for AI regulatory evaluation
99,Legal Knowledge Interchange Format,LKIF,I. Legal & Governance,Univ. of Amsterdam,"Ontology for representing legal knowledge including norms, actions, roles, and legal reasoning.",~200 classes,Open (research),3,Legal reasoning ontology for AI governance evaluation
100,Global Data Barometer,GDB,I. Legal & Governance,Open Data Charter,Assessment framework measuring how data governance practices support societal benefits across 109 countries.,"109 countries, 80+ indicators",CC BY 4.0,2,Data governance evaluation for public sector AI assessment
101,Data Privacy Vocabulary,DPV,I. Legal & Governance,W3C DPVCG,"Vocabulary for describing personal data processing, purposes, legal bases, and rights under data protection regulations.",800+ concepts,W3C License,2,Privacy evaluation framework for AI systems handling personal data
102,NIST Privacy Framework,NIST PF 1.0,I. Legal & Governance,NIST,Framework for managing privacy risks in AI systems. Complements AI RMF.,"5 functions, 18 categories",Public domain,2,Privacy risk management aligned with HI's evaluation methodology
103,GeoNames,GeoNames,J. Geospatial & Infrastructure,GeoNames.org,"Geographical database with 12M+ place names, administrative divisions, and coordinates.","12M+ entries, 200+ countries",CC BY 4.0,2,Geographic grounding for evaluation scenarios; links regions across KGs
104,ISO 3166 Country Codes,ISO 3166,J. Geospatial & Infrastructure,ISO,"Standardized codes for countries (3166-1), subdivisions (3166-2), and formerly used codes (3166-3).","249 countries, 5K+ subdivisions",ISO license,1,Cross-references geographic entities across all KGs and evaluation scenarios
105,Open Street Map,OSM,J. Geospatial & Infrastructure,OSM Foundation,"Open geographic database with 10B+ map features including health facilities, roads, water sources.",10B+ features,ODbL 1.0,2,"Health facility locations, infrastructure mapping for LMIC evaluation contexts"
106,Healthsites.io,Healthsites,J. Geospatial & Infrastructure,Community / PEPFAR,Open database of health facility locations worldwide — 160K+ facilities mapped.,160K+ facilities,Open Data Commons,1,Health facility coverage for evaluation in low-resource settings — directly relevant to health-systems-kg
